year,race_num,track,race_name,Length,Surface,finishing_position,start,car_num,driver,manu,points,laps,laps_led,status,team_name,stage_1,stage_2,Rating,race_win,Seg Points,pole_position,qualified_top5,qualified_top10,track_type,is_road_course,is_superspeedway,is_short_track,career_races,career_wins,career_win_pct,career_top5,career_top10,career_avg_finish,races_at_track,wins_at_track,avg_finish_at_track,best_finish_at_track,avg_finish_last_3,avg_finish_last_5,avg_finish_last_10,team_wins_this_season,team_top5_this_season,team_avg_finish_this_season,manu_wins_this_season,manu_win_pct_this_season
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,1,23,7,John King,Toyota,47,109,6,running,Red Horse Racing,0,0,74.8,1.0,0,0,0,0,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,2,27,17,Timothy Peters,Toyota,42,109,0,running,Red Horse Racing,0,0,74.9,0.0,0,0,0,0,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,3,15,6,Justin Lofton,Chevrolet,41,109,0,running,Eddie Sharp Racing,0,0,102.2,0.0,0,0,0,0,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,4,19,09,Travis Kvapil,Toyota,0,109,0,running,RAB Racing,0,0,87.7,0.0,0,0,0,0,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,1.0,0.5
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,5,8,23,Jason A. White (Virginia),Ford,40,109,16,running,Joe Denette Motorsports,0,0,113.5,0.0,0,0,0,1,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,6,10,11,Todd Bodine,Toyota,38,109,0,running,Red Horse Racing,0,0,95.7,0.0,0,0,0,1,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,1.0,2.0,1.5,1.0,0.3333333333333333
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,7,22,84,Chris Fontaine,Toyota,37,109,0,running,Chris Fontaine Inc.,0,0,63.5,0.0,0,0,0,0,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,1.0,0.25
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,8,25,27,Ward Burton,Chevrolet,36,109,0,running,Hillman Racing,0,0,49.2,0.0,0,0,0,0,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,9,4,3,Ty Dillon,Chevrolet,35,109,0,running,Richard Childress Racing,0,0,75.8,0.0,0,0,1,1,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0
2012,1,Daytona International Speedway,NextEra Energy Resources 250,2.5,paved,10,26,68,Clay Greenfield,RAM,34,109,0,running,Alger Motorsports,0,0,84.1,0.0,0,0,0,0,Superspeedway,0,1,0,0,0.0,0.0,0.0,0.0,20.0,0,0.0,20.0,40.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0
